Test_id;Fault_Type;Target_Component;Target_Class;Target_Function;Fault_Location;Line
Test_1;OPENSTACK_WRONG_RETURN_VALUE-IMAGE;/cinder/volume/api.py;API;get_list_volumes_image_metadata;return results;1259
Test_2;OPENSTACK_WRONG_RETURN_VALUE-IMAGE;/cinder/volume/drivers/lvm.py;LVMVolumeDriver;clone_image;return (None, False);571
Test_3;OPENSTACK_WRONG_RETURN_VALUE-IMAGE;/cinder/volume/flows/manager/create_volume.py;CreateVolumeFromSpecTask;_create_from_image_download;return model_update;704
Test_4;OPENSTACK_WRONG_RETURN_VALUE-IMAGE;/cinder/volume/flows/manager/create_volume.py;CreateVolumeFromSpecTask;_create_from_image_cache_or_download;return model_update;888
Test_5;OPENSTACK_WRONG_RETURN_VALUE-IMAGE;/cinder/volume/flows/manager/create_volume.py;CreateVolumeFromSpecTask;_create_from_image;return model_update;958
Test_6;OPENSTACK_WRONG_RETURN_VALUE-IMAGE;/cinder/db/api.py;None;image_volume_cache_get_by_volume_id;return IMPL.image_volume_cache_get_by_volume_id(context, volume_id);1636
Test_7;OPENSTACK_WRONG_RETURN_VALUE-IMAGE;/cinder/api/v2/volumes.py;VolumeController;_image_uuid_from_ref;return image['id'];147
Test_8;OPENSTACK_WRONG_RETURN_VALUE-IMAGE;/cinder/db/sqlalchemy/api.py;None;image_volume_cache_get_by_volume_id;return session.query(models.ImageVolumeCacheEntry).filter_by(volume_id=volume_id).first();6544
Test_9;OPENSTACK_WRONG_RETURN_VALUE-IMAGE;/cinder/image/image_utils.py;TemporaryImages;for_image_service;return instance;658
Test_10;OPENSTACK_WRONG_RETURN_VALUE-IMAGE;/cinder/image/cache.py;ImageVolumeCache;get_by_image_volume;return self.db.image_volume_cache_get_by_volume_id(context, volume_id);41
Test_11;OPENSTACK_WRONG_RETURN_VALUE-IMAGE;/cinder/image/glance.py;GlanceImageService;get_remote_image_service;return (image_service, image_href);630
Test_12;OPENSTACK_WRONG_RETURN_VALUE-IMAGE;/cinder/image/glance.py;GlanceImageService;_is_image_available;return True;474
Test_13;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/scheduler/filter_scheduler.py;FilterScheduler;schedule_create_volume;self.volume_rpcapi.create_volume(context, updated_volume, request_spec, filter_properties, allow_reschedule=True);108
Test_14;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/scheduler/filter_scheduler.py;FilterScheduler;_choose_top_backend;backend_state.consume_from_volume(volume_properties);545
Test_15;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/scheduler/host_manager.py;HostManager;_update_backend_state_map;backend_state.update_from_volume_capability(capabilities, service=dict(service));610
Test_16;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/objects/volume.py;Volume;finish_detach;db.volume_admin_metadata_delete(self._context, self.id, 'attached_mode');547
Test_17;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/objects/volume.py;Volume;save;db.volume_update(self._context, self.id, updates);389
Test_18;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/volume/api.py;API;delete;self.volume_rpcapi.delete_volume(context, volume, unmanage_only, cascade);532
Test_19;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/volume/manager.py;VolumeManager;attach_volume;self._notify_about_volume_usage(context, volume, 'attach.end');1229
Test_20;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/volume/manager.py;VolumeManager;attach_volume;self._notify_about_volume_usage(context, volume, 'attach.start');1181
Test_21;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/volume/manager.py;VolumeManager;detach_volume;self._notify_about_volume_usage(context, volume, 'detach.start');1281
Test_22;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/volume/manager.py;VolumeManager;delete_volume;self._notify_about_volume_usage(context, volume, notification);745
Test_23;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/volume/manager.py;VolumeManager;detach_volume;self.driver.detach_volume(context, volume, attachment);1293
Test_24;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/volume/manager.py;VolumeManager;attach_volume;self.driver.attach_volume(context, volume, instance_uuid, host_name_sanitized, mountpoint);1207
Test_25;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/volume/manager.py;VolumeManager;delete_volume;QUOTAS.add_volume_type_opts(context, reserve_opts, volume.volume_type_id);804
Test_26;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/volume/manager.py;VolumeManager;detach_volume;self._notify_about_volume_usage(context, volume, 'detach.end');1324
Test_27;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/volume/manager.py;VolumeManager;delete_volume;self._notify_about_volume_usage(context, volume, notification);825
Test_28;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/volume/manager.py;VolumeManager;_notify_about_volume_usage;vol_utils.notify_about_volume_usage(context, volume, event_suffix, extra_usage_info=extra_usage_info, host=self.host);2477
Test_29;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/volume/manager.py;VolumeManager;delete_volume;self.driver.delete_volume(volume);775
Test_30;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/volume/manager.py;VolumeManager;delete_volume;self.db.volume_glance_metadata_delete_by_volume(context, volume.id);815
Test_31;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/volume/manager.py;VolumeManager;_report_driver_status;self._append_volume_stats(volume_stats);2415
Test_32;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/volume/drivers/lvm.py;LVMVolumeDriver;_create_volume;vg_ref.create_volume(name, size, lvm_type, mirror_count);200
Test_33;OPENSTACK_MISSING_PARAMETERS-VOLUME;/cinder/volume/drivers/lvm.py;LVMVolumeDriver;delete_volume;self._delete_volume(volume);459
Test_34;OPENSTACK_MISSING_FUNCTION_CALL-IMAGE;/cinder/volume/flows/manager/create_volume.py;CreateVolumeFromSpecTask;_copy_image_to_volume;self.driver.copy_image_to_volume(context, volume, image_service, image_id);554
Test_35;OPENSTACK_MISSING_FUNCTION_CALL-IMAGE;/cinder/volume/flows/manager/create_volume.py;CreateVolumeFromSpecTask;_create_from_image_download;self._copy_image_to_volume(context, volume, image_meta, image_location, image_service);697
Test_36;OPENSTACK_MISSING_FUNCTION_CALL-IMAGE;/cinder/volume/flows/manager/create_volume.py;CreateVolumeFromSpecTask;_handle_bootable_volume_glance_meta;self._capture_volume_image_metadata(context, volume.id, image_id, image_meta);438
Test_37;OPENSTACK_MISSING_FUNCTION_CALL-IMAGE;/cinder/api/contrib/volume_image_metadata.py;VolumeImageMetadataController;detail;self._add_image_metadata(context, volumes);85
Test_38;OPENSTACK_MISSING_FUNCTION_CALL-IMAGE;/cinder/api/contrib/volume_image_metadata.py;VolumeImageMetadataController;show;self._add_image_metadata(context, [resp_obj.obj['volume']]);76
