Test_id;Fault_Type;Target_Component;Target_Class;Target_Function;Fault_Location;Line
Test_1;OPENSTACK_MISSING_FUNCTION_CALL-VOLUME;/nova/compute/manager.py;ComputeManager;do_attach_volume;do_attach_volume(context, instance, driver_bdm);4920
Test_2;OPENSTACK_MISSING_FUNCTION_CALL-VOLUME;/nova/virt/libvirt/driver.py;LibvirtDriver;cleanup;self._disconnect_volume(connection_info, disk_dev, instance);1013
Test_3;OPENSTACK_WRONG_RETURN_VALUE-NETWORK;/nova/compute/api.py;API;_check_requested_networks;return self.network_api.validate_networks(context, requested_networks, max_count);402
Test_4;OPENSTACK_WRONG_RETURN_VALUE-NETWORK;/nova/network/neutronv2/api.py;API;_validate_requested_network_ids;return {net['id'];749
Test_5;OPENSTACK_WRONG_RETURN_VALUE-NETWORK;/nova/network/neutronv2/api.py;API;_get_available_networks;return nets;368
Test_6;OPENSTACK_WRONG_RETURN_VALUE-NETWORK;/nova/network/neutronv2/api.py;API;validate_networks;return num_instances;1720
Test_7;OPENSTACK_MISSING_FUNCTION_CALL-VOLUME;/nova/virt/libvirt/driver.py;LibvirtDriver;attach_volume;self._check_discard_for_attach_volume(conf, instance);1275
Test_8;OPENSTACK_WRONG_RETURN_VALUE-NETWORK;/nova/api/openstack/common.py;None;get_networks_for_instance;return get_networks_for_instance_from_nw_info(nw_info);326
Test_9;OPENSTACK_WRONG_RETURN_VALUE-NETWORK;/nova/api/openstack/common.py;None;get_networks_for_instance_from_nw_info;return networks;303
Test_10;OPENSTACK_WRONG_RETURN_VALUE-NETWORK;/nova/api/openstack/compute/servers.py;ServersController;_get_requested_networks;return objects.NetworkRequestList(objects=networks);434
Test_11;OPENSTACK_WRONG_RETURN_VALUE-NETWORK;/nova/virt/netutils.py;None;get_network_metadata;return {'links';219
Test_12;OPENSTACK_WRONG_RETURN_VALUE-NETWORK;/nova/virt/netutils.py;None;_get_first_network;return next((i for i in network['subnets'] if (i['version'] == version)));53
Test_13;OPENSTACK_WRONG_RETURN_VALUE-NETWORK;/nova/virt/osinfo.py;HardwareProperties;network_model;return ('virtio' if (model == 'virtio-net') else model);130
Test_14;OPENSTACK_WRONG_RETURN_VALUE-NETWORK;/nova/virt/libvirt/driver.py;LibvirtDriver;_create_domain_and_network;return guest;5457
Test_15;OPENSTACK_WRONG_RETURN_VALUE-NETWORK;/nova/objects/instance.py;Instance;get_network_info;return self.info_cache.network_info;1173
Test_16;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/api.py;API;create_db_entry_for_new_instance;self._populate_instance_for_create(context, instance, image, index, security_group, instance_type, num_instances, shutdown_terminate);1565
Test_17;OPENSTACK_MISSING_FUNCTION_CALL-VOLUME;/nova/virt/libvirt/driver.py;LibvirtDriver;_get_ephemeral_devices;self._connect_volume(connection_info, info, instance);3936
